Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/explore/posts,"5,304","3,168",0:06:16,660,31.68%,41.40%,$0.00
/explore/posts?start=2015-02-02T13:00:00.000Z&end=2015-02-10T12:59:59.999Z,78,69,0:00:55,68,11.76%,12.82%,$0.00
/explore/posts?start=2015-03-13T03:00:00.000Z&end=2015-03-14T12:59:59.999Z,61,3,0:02:13,0,0.00%,1.64%,$0.00
/explore/posts?start=2015-03-13T02:00:00.000Z&end=2015-03-14T12:59:59.999Z,48,2,0:02:02,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-10T07:00:00.000Z&end=2015-03-11T16:59:59.999Z&sources=facebook&sources=foursquare&sources=twitter,43,21,0:01:18,10,40.00%,30.23%,$0.00
/explore/posts?start=2015-02-21T21:00:00.000Z&end=2015-02-23T12:59:59.999Z,41,2,0:01:21,1,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-25T16:00:00.000Z&end=2015-03-05T15:59:59.999Z,41,11,0:06:53,9,11.11%,19.51%,$0.00
/explore/posts?start=2015-03-18T05:00:00.000Z&end=2015-03-19T12:59:59.999Z,36,1,0:05:05,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-11-18T10:00:00.000Z&end=2014-11-19T12:59:59.999Z,32,30,0:00:37,27,74.07%,78.12%,$0.00
/explore/posts?start=2014-11-17T21:30:00.000Z&end=2014-11-19T13:29:59.999Z,26,23,0:12:10,23,35.71%,76.92%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-20T03:00:00.000Z&end=2015-03-21T10:59:59.999Z,25,1,0:11:33,0,0.00%,4.00%,$0.00
/explore/posts?start=2014-09-01T14:00:00.000Z&end=2014-09-09T13:59:59.999Z,25,24,2:18:00,21,52.17%,96.00%,$0.00
/explore/posts?start=2015-01-19T14:00:00.000Z&end=2015-02-20T13:59:59.999Z,25,25,0:12:52,24,69.57%,72.00%,$0.00
/explore/posts?start=2015-02-26T16:00:00.000Z&end=2015-03-06T15:59:59.999Z,25,8,0:10:55,8,12.50%,32.00%,$0.00
/explore/posts?start=2015-03-06T22:00:00.000Z&end=2015-03-08T10:59:59.999Z,24,1,0:03:54,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-10-16T03:00:00.000Z&end=2014-10-17T12:59:59.999Z,23,23,0:04:33,22,9.09%,13.04%,$0.00
/explore/posts?start=2015-03-18T01:00:00.000Z&end=2015-03-19T12:59:59.999Z&sources=facebook&sources=instagram&sources=twitter,22,2,0:03:42,1,0.00%,4.55%,$0.00
/explore/posts?start=2015-02-21T22:00:00.000Z&end=2015-02-23T12:59:59.999Z,20,1,0:00:51,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-06T22:00:00.000Z&end=2015-03-08T12:59:59.999Z&place_id=54efcfc1c626971d210f4a5f,19,1,0:04:52,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=4S-85101933&start=2015-03-09T06:00:00.000Z&end=2015-03-10T06:00:00.000Z,16,6,0:01:38,2,0.00%,12.50%,$0.00
/explore/posts?start=2015-03-06T22:00:00.000Z&end=2015-03-08T12:59:59.999Z,16,2,0:05:39,1,100.00%,6.25%,$0.00
/explore/posts?start=2015-03-06T23:00:00.000Z&end=2015-03-08T10:59:59.999Z,16,1,0:04:47,0,0.00%,6.25%,$0.00
/explore/posts?poster_id=IG-24579428&start=2015-02-19T01:00:00.000Z&end=2015-02-20T04:59:59.999Z,15,1,0:03:31,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-03T16:00:00.000Z&end=2015-03-11T15:59:59.999Z,15,13,0:07:46,12,58.33%,73.33%,$0.00
/explore/posts?start=2015-03-12T03:00:00.000Z&end=2015-03-13T12:59:59.999Z&place_id=550256016f5e2218d65daf60&place_id=54fd1d34c62697048325802e&place_id=54eebf5cc626971d230f4a5d&kind_name=photo&kind_name=video,15,2,0:04:48,1,0.00%,6.67%,$0.00
/explore/posts?start=2015-02-18T11:00:00.000Z&end=2015-03-19T10:59:59.999Z&place_id=550634986f5e2218d45daf3f,14,5,0:17:46,5,0.00%,35.71%,$0.00
/explore/posts?start=2015-03-13T23:00:00.000Z&end=2015-03-15T12:59:59.999Z&kind_name=photo&kind_name=video,14,3,0:12:09,2,0.00%,14.29%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-13T04:00:00.000Z&end=2015-03-14T12:59:59.999Z,13,1,0:04:13,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=4S-85101933&start=2015-03-09 17:00:00&end=2015-03-10 17:00:00,13,10,0:01:18,7,14.29%,23.08%,$0.00
/explore/posts?start=2014-02-28T16:00:00.000Z&end=2015-03-03T15:59:59.999Z,13,9,0:23:06,6,50.00%,30.77%,$0.00
/explore/posts?start=2015-01-25T13:00:00.000Z&end=2015-02-26T12:59:59.999Z,13,10,0:11:02,8,55.56%,69.23%,$0.00
/explore/posts?start=2015-03-01T10:00:00.000Z&end=2015-03-08T10:00:00.000Z,13,8,0:00:21,5,0.00%,23.08%,$0.00
/explore/posts?start=2015-03-05T08:00:00.000Z&end=2015-03-06T15:59:59.999Z,13,4,0:06:04,3,0.00%,23.08%,$0.00
/explore/posts?start=2015-03-12T20:00:00.000Z&end=2015-03-14T12:59:59.999Z,13,8,0:10:33,8,12.50%,61.54%,$0.00
/explore/posts?start=2015-03-17T03:00:00.000Z&end=2015-03-18T10:59:59.999Z,13,7,0:06:54,4,0.00%,38.46%,$0.00
/explore/posts?poster_id=IG-372575696&start=2015-02-19T01:00:00.000Z&end=2015-02-20T04:59:59.999Z,12,1,0:01:02,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-11-07T13:30:00.000Z&end=2014-11-15T13:29:59.999Z,12,11,0:12:26,11,46.15%,91.67%,$0.00
/explore/posts?start=2015-03-06T01:00:00.000Z&end=2015-03-07T15:59:59.999Z&sources=facebook&sources=foursquare&sources=instagram,12,5,0:12:43,4,0.00%,41.67%,$0.00
/explore/posts?start=2015-03-13T00:00:00.000Z&end=2015-03-14T12:59:59.999Z&kind_name=photo&kind_name=video,12,1,0:02:51,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-18T08:00:00.000Z&end=2015-03-19T12:59:59.999Z,12,1,0:05:06,0,0.00%,8.33%,$0.00
/explore/posts?poster_id=IG-1013862067,11,4,0:01:08,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-372575696&start=2015-02-19T03:00:00.000Z&end=2015-02-20T04:59:59.999Z,11,1,0:03:02,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T16:00:00.000Z&end=2015-02-27T15:59:59.999Z,11,3,0:16:39,3,0.00%,27.27%,$0.00
/explore/posts?start=2014-02-28T16:00:00.000Z&end=2015-03-18T15:59:59.999Z,11,7,0:06:15,5,20.00%,36.36%,$0.00
/explore/posts?start=2015-01-18T13:00:00.000Z&end=2015-02-19T12:59:59.999Z,11,9,0:02:37,8,44.44%,54.55%,$0.00
/explore/posts?start=2015-02-21T23:00:00.000Z&end=2015-02-23T12:59:59.999Z,11,1,0:00:48,0,0.00%,9.09%,$0.00
/explore/posts?start=2015-03-07T00:00:00.000Z&end=2015-03-08T12:59:59.999Z,11,5,0:12:36,3,33.33%,45.45%,$0.00
/explore/posts?start=2015-03-07T02:00:00.000Z&end=2015-03-08T15:59:59.999Z,11,6,0:13:46,5,20.00%,45.45%,$0.00
/explore/posts?start=2015-03-12T05:00:00.000Z&end=2015-03-13T12:59:59.999Z,11,1,0:02:38,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-2239716770,10,5,0:01:13,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-01-22T14:00:00.000Z&end=2015-02-23T13:59:59.999Z,10,10,0:04:31,9,50.00%,60.00%,$0.00
/explore/posts?start=2015-03-11T16:00:00.000Z&end=2015-03-19T15:59:59.999Z,10,8,0:06:41,8,50.00%,60.00%,$0.00
/explore/posts?start=2015-03-12T04:00:00.000Z&end=2015-03-13T12:59:59.999Z,10,2,0:06:44,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T16:00:00.000Z&end=2015-02-24T15:59:59.999Z,9,6,0:07:52,6,83.33%,55.56%,$0.00
/explore/posts?start=2014-10-21T13:30:00.000Z&end=2014-10-29T13:29:59.999Z,9,9,0:00:00,8,33.33%,100.00%,$0.00
/explore/posts?start=2015-02-20T00:00:00.000Z&end=2015-02-21T04:59:59.999Z,9,1,0:04:30,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-01T16:00:00.000Z&end=2015-03-09T15:59:59.999Z,9,6,0:10:57,6,33.33%,66.67%,$0.00
/explore/posts?start=2015-03-02T16:00:00.000Z&end=2015-03-10T15:59:59.999Z,9,6,0:07:13,4,25.00%,44.44%,$0.00
/explore/posts?start=2015-03-08T16:00:00.000Z&end=2015-03-16T15:59:59.999Z,9,8,0:15:49,8,33.33%,55.56%,$0.00
/explore/posts?start=2015-03-18T04:00:00.000Z&end=2015-03-19T12:59:59.999Z,9,2,0:07:24,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-02-22T00:00:00.000Z&end=2015-02-23T04:59:59.999Z,8,1,0:02:17,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&start=2015-02-02T13:00:00.000Z&end=2015-03-03T12:59:59.999Z,8,5,0:13:33,4,0.00%,25.00%,$0.00
/explore/posts?poster_id=IG-3724687,8,2,0:00:24,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-468181170&start=2015-02-19T01:00:00.000Z&end=2015-02-20T04:59:59.999Z,8,1,0:00:15,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T16:00:00.000Z&end=2015-02-23T15:59:59.999Z,8,4,0:20:52,3,33.33%,50.00%,$0.00
/explore/posts?start=2014-02-28T13:00:00.000Z&end=2015-03-09T12:59:59.999Z,8,8,0:00:00,8,70.00%,100.00%,$0.00
/explore/posts?start=2015-01-22T13:00:00.000Z&end=2015-02-23T12:59:59.999Z,8,8,0:07:50,6,37.50%,50.00%,$0.00
/explore/posts?start=2015-02-13T13:00:00.000Z&end=2015-03-14T12:59:59.999Z,8,3,0:05:48,1,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-14T05:00:00.000Z&end=2015-02-22T04:59:59.999Z,8,4,0:01:06,1,100.00%,25.00%,$0.00
/explore/posts?start=2015-02-19T11:00:00.000Z&end=2015-03-20T10:59:59.999Z&place_id=550632736f5e2218d35daf4b&place_id=550632fa6f5e2218d15daf2a,8,7,0:30:45,7,0.00%,87.50%,$0.00
/explore/posts?start=2015-03-01T13:00:00.000Z&end=2015-03-09T12:59:59.999Z,8,7,0:23:10,4,33.33%,75.00%,$0.00
/explore/posts?start=2015-03-05T02:00:00.000Z&end=2015-03-06T15:59:59.999Z,8,2,0:12:03,1,0.00%,12.50%,$0.00
/explore/posts?kind_name=photo&kind_name=video,7,2,0:01:20,1,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-13T06:00:00.000Z&end=2015-03-14T12:59:59.999Z,7,1,0:07:02,0,0.00%,14.29%,$0.00
/explore/posts?poster_id=4S-8299499&start=2015-03-12 17:00:00&end=2015-03-13 17:00:00,7,6,0:00:33,5,80.00%,85.71%,$0.00
/explore/posts?poster_id=TW-200163448,7,2,0:00:20,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-05T04:00:00.000Z&end=2015-03-06T15:59:59.999Z&sources=facebook&sources=foursquare&sources=instagram,7,3,0:13:36,3,0.00%,28.57%,$0.00
/explore/posts?start=2015-03-06T21:00:00.000Z&end=2015-03-08T12:59:59.999Z,7,2,0:07:54,1,0.00%,28.57%,$0.00
/explore/posts?start=2015-03-10T07:00:00.000Z&end=2015-03-11T16:59:59.999Z,7,6,0:03:08,1,100.00%,57.14%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-14T03:00:00.000Z&end=2015-03-15T12:59:59.999Z,6,2,0:07:09,1,0.00%,33.33%,$0.00
/explore/posts?poster_id=IG-13893132,6,2,0:00:08,0,0.00%,16.67%,$0.00
/explore/posts?poster_id=IG-248198216&start=2015-03-10 17:00:00&end=2015-03-11 17:00:00,6,2,0:02:48,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-62381450&start=2015-02-15T13:00:00.000Z&end=2015-02-23T12:59:59.999Z,6,1,0:01:52,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T13:00:00.000Z&end=2015-02-24T12:59:59.999Z,6,5,0:36:40,2,50.00%,83.33%,$0.00
/explore/posts?start=2014-02-28T16:00:00.000Z&end=2015-03-19T15:59:59.999Z,6,3,0:12:59,3,33.33%,33.33%,$0.00
/explore/posts?start=2014-11-30T00:00:00.000Z&end=2014-12-01T12:59:59.999Z,6,6,0:00:14,5,40.00%,33.33%,$0.00
/explore/posts?start=2015-01-18T14:00:00.000Z&end=2015-02-19T13:59:59.999Z,6,5,0:11:09,5,60.00%,66.67%,$0.00
/explore/posts?start=2015-01-26T16:00:00.000Z&end=2015-02-27T15:59:59.999Z,6,3,0:03:50,2,50.00%,33.33%,$0.00
/explore/posts?start=2015-02-05T14:00:00.000Z&end=2015-03-06T13:59:59.999Z,6,6,0:00:00,6,66.67%,100.00%,$0.00
/explore/posts?start=2015-02-13T05:00:00.000Z&end=2015-02-21T04:59:59.999Z,6,1,0:08:03,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-22T16:00:00.000Z&end=2015-03-02T15:59:59.999Z,6,6,0:02:16,5,33.33%,66.67%,$0.00
/explore/posts?start=2015-02-24T05:00:00.000Z&end=2015-03-04T04:59:59.999Z,6,2,0:09:46,0,0.00%,33.33%,$0.00
/explore/posts?start=2015-02-26T03:00:00.000Z&end=2015-02-27T12:59:59.999Z,6,1,0:08:27,1,0.00%,16.67%,$0.00
/explore/posts?start=2015-03-05T13:00:00.000Z&end=2015-03-13T12:59:59.999Z,6,3,0:04:31,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-05T14:00:00.000Z&end=2015-03-13T13:59:59.999Z,6,5,0:07:28,3,66.67%,66.67%,$0.00
/explore/posts?start=2015-03-10T07:00:00.000Z&end=2015-03-11T16:59:59.999Z&sources=facebook&sources=foursquare&sources=twitter&kind_name=video,6,6,0:00:14,3,33.33%,16.67%,$0.00
/explore/posts?start=2015-03-12T06:00:00.000Z&end=2015-03-13T12:59:59.999Z,6,1,0:01:23,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-03-17T23:00:00.000Z&end=2015-03-19T15:59:59.999Z,6,6,0:00:00,5,80.00%,100.00%,$0.00
/explore/posts?start=2015-03-18T01:00:00.000Z&end=2015-03-19T12:59:59.999Z,6,2,0:02:21,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-02-20T01:00:00.000Z&end=2015-02-21T04:59:59.999Z,5,1,0:00:41,0,0.00%,0.00%,$0.00
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-03T05:00:00.000Z&end=2015-03-11T03:59:59.999Z&place_id=54ff19c56f5e2268de95cbba,5,3,0:17:02,3,66.67%,60.00%,$0.00
/explore/posts?poster_id=4S-44814956&start=2015-03-10 17:00:00&end=2015-03-11 17:00:00,5,4,0:00:24,1,0.00%,60.00%,$0.00
/explore/posts?poster_id=4S-80268392,5,1,0:00:20,0,0.00%,20.00%,$0.00
/explore/posts?poster_id=4S-85101933&start=2015-03-09 13:00:00&end=2015-03-10 13:00:00,5,3,0:00:53,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=FB-10153099662842618&start=2015-03-04 17:00:00&end=2015-03-05 17:00:00,5,1,0:00:11,0,0.00%,20.00%,$0.00
